"rid";"_categories_rid";"_parent_rid";"level"
13264;1213;380;2
13265;1213;1208;3
13266;1214;104;1
13267;1214;380;2
13268;1214;1208;3
13269;1215;104;1
13270;1215;380;2
13271;1215;1208;3
13272;1216;104;1
13273;1216;380;2
13274;1217;104;1
13275;1217;380;2
13276;1218;104;1
13277;1218;380;2
13278;1219;104;1
13279;1219;380;2
13280;1220;104;1
13281;1220;380;2
13282;1221;104;1
13283;1221;380;2
13284;1222;104;1
13285;1222;380;2
13286;1223;105;1
13287;1224;105;1
13288;1225;105;1
13289;1226;105;1
13290;1227;105;1
13291;1228;105;1
13292;1229;105;1
13293;1230;105;1
13294;1231;105;1
13295;1232;105;1
13296;1233;105;1
13297;1234;105;1
13298;1235;105;1
13299;1236;105;1
13300;1237;105;1
13301;1238;105;1
13302;1239;105;1
13303;1240;105;1
13304;1241;105;1
13305;1241;1224;2
13306;1242;105;1
13307;1242;1224;2
13308;1243;105;1
13309;1243;1224;2
13310;1244;105;1
13311;1244;1224;2
13312;1245;105;1
13313;1245;1224;2
13314;1246;105;1
13315;1246;1224;2
13316;1247;105;1
13317;1247;1224;2
13318;1248;105;1
13319;1248;1224;2
13320;1249;105;1
13321;1249;1224;2
13322;1250;105;1
13323;1250;1224;2
13324;1251;105;1
13325;1251;1224;2
13326;1252;105;1
13327;1252;1224;2
13328;1253;105;1
13329;1253;1224;2
13330;1254;105;1
13331;1254;1224;2
13332;1255;105;1
13333;1255;1224;2
13334;1256;105;1
13335;1256;1224;2
13336;1257;105;1
13337;1257;1224;2
13338;1258;105;1
13339;1258;1224;2
13340;1259;105;1
13341;1259;1225;2
13342;1260;105;1
13343;1260;1225;2
13344;1261;105;1
13345;1261;1225;2
13346;1262;105;1
13347;1262;1225;2
13348;1263;105;1
13349;1263;1225;2
13350;1264;105;1
13351;1264;1225;2
13352;1265;105;1
13353;1265;1225;2
13354;1270;87;1
13355;1272;87;1
13356;1272;116;2
13357;1273;100;1
13358;1274;100;1
13359;1274;1273;2
